Trial ID,Amount,Name,Role,Number of Trials,Average Response Time,Average Accuracy
Victor-volleyball-100,100,Victor,volleyball,100,495.46599999999626,100.0
Kristian-volleyball-100,100,Kristian,volleyball,100,612.4329999999993,97.0
Vladi-volleyball-100,100,Vladi,volleyball,100,539.5609999999974,98.0
tomi-volleyball-100,100,tomi,volleyball,100,493.00400000005027,98.0
niki p-volleyball-100,100,niki p,volleyball,100,721.7079999999795,100.0
buchi-volleyball-100,100,buchi,volleyball,100,500.12400000000025,99.0
niki-volleyball-100,100,niki,volleyball,100,625.5230000000028,99.0
danny-student-100,100,danny,student,100,445.14600000005214,98.0
kalata-student-100,100,kalata,student,100,402.8260000000335,92.0
sophi s-student-100,100,sophi s,student,100,573.4599999999627,99.0
tedi-student-100,100,tedi,student,100,406.92600000005217,94.0
alex m-student-100,100,alex m,student,100,534.0800000003725,100.0
eric-student-100,100,eric,student,100,471.0949999999255,99.0
villi-student-100,100,villi,student,100,669.679999999851,99.0
Eva-student-100,100,Eva,student,100,392.6440000000596,80.0
sofi m-student-100,100,sofi m,student,100,503.43700000166893,99.0
ivan-student-100,100,ivan,student,100,556.9479999989271,100.0
ani-student-100,100,ani,student,100,572.315,95.0
Diana-student-100,100,Diana,student,100,591.4930000013113,100.0
Nikolay-student-100,100,Nikolay,student,100,750.9169999998808,100.0
Mikaela-student-100,100,Mikaela,student,100,538.5420000003278,96.0
Mikaela-volleyball -100,100,Mikaela,volleyball ,100,539.1710000002385,96.0
Adriana-volleyball-100,100,Adriana,volleyball,100,635.3489999997615,99.0
Kiara-volleyball-100,100,Kiara,volleyball,100,793.6199999992549,8.0
Emo-volleyball-100,100,Emo,volleyball,100,524.9260000000894,97.0
Presi-student-100,100,Presi,student,100,467.3100000017881,98.0
Niya-student-100,100,Niya,student,100,491.42900000035763,92.0
